|V|P|5|N|6|V|V|B|L|F|R|M|9|R|GRAY|
4|W|V|X|K|N|4|W|6|V|F|7|V|R|GRAY|
7|6|R|6|N|K|4|B|R|P|V|K|9|X|GRAY|
7|0|R|9|V|V|J|0|J|9|W|R|5|N|GRAY|
V|J|T|4|J|K|R|F|J|R|M|N|K|T|GRAY|
7|P|T|K|J|5|N|5|T|X|5|4|T|5|RED|
P|F|9|V|F|W|J|5|V|F|6|V|L|P|GREEN|
0|L|6|X|M|6|W|K|5|B|H|L|H|N|GREEN|
R|7|W|N|0|V|9|K|N|X|N|5|F|5|GREEN|
P|4|K|6|K|9|4|7|0|V|X|P|H|7|GREEN|
B|J|F|X|M|N|P|P|P|F|J|T|P|6|GREEN|
4|V|9|M|X|5|K|7|5|5|W|P|L|T|GREEN|
T|W|4|F|T|L|R|V|H|F|K|6|5|X|RED|
6|5|K|W|F|6|R|T|4|K|4|0|4|K|POWERADE|
P|K|H|4|5|V|J|R|T|B|9|N|5|K|RED|
H|9|L|9|N|7|N|6|P|K|9|R|J|7|RED|
9|N|5|B|L|L|N|T|K|H|W|4|0|R|RED|
0|T|M|W|0|L|T|7|X|N|F|X|B|0|RED|
5|0|F|5|X|L|V|4|X|H|X|H|N|P|POWERADE|
N|P|9|5|M|R|P|X|M|K|B|K|6|o|POWERADE|
B|T|5|J|H|K|R|F|4|5|V|7|K|V|BLACK|
7|F|6|K|T|B|H|V|4|0|N|6|H|7|RED|
4|T|J|5|R|9|P|X|4|6|W|0|4|F|GREEN|
N|H|M|J|7|W|B|5|0|4|F|X|T|W|GRAY|
9|K|5|W|L|V|J|X|T|L|X|6|X|L|POWERADE|
0|J|X|P|9|H|W|7|4|T|M|R|M|H|BLACK|
P|W|J|K|L|5|R|H|B|K|T|6|9|J|RED|
5|N|X|6|B|5|9|K|N|7|W|W|K|4|GRAY|
H|4|M|N|R|V|4|B|F|L|P|R|5|T|BLACK|
9|7|H|6|M|V|5|9|V|6|7|M|B|K|BLACK|
R|T|9|W|T|J|7|B|L|J|N|4|M|5|BLACK|
7|P|M|6|0|V|J|R|0|J|F|9|F|5|GRAY|
6|J|M|6|N|L|N|T|B|5|X|N|L|7|RED|
P|L|N|L|F|H|V|7|7|F|L|J|R|K|MINUTEMAID|
T|T|N|B|T|K|7|B|K|9|4|F|L|M|RED|
V|M|J|B|R|0|M|0|H|K|5|X|F|R|RED|
J|N|6|F|7|H|M|M|9|K|M|R|6|K|POWERADEZERO|
N|X|T|W|J|X|B|6|9|9|X|6|0|J|POWERADE|
0|P|5|F|H|P|W|J|T|0|T|P|0|H|POWERADE|
F|N|T|K|0|M|K|V|7|B|J|F|J|P|POWERADEZERO|
T|4|9|R|5|K|9|4|7|R|9|7|P|4|POWERADE|
B|N|V|H|T|P|K|V|H|L|R|T|J|R|POWERADE|
F|M|7|K|B|P|5|V|N|9|L|4|5|J|MINUTEMAID|
9|R|K|6|V|6|V|V|9|K|B|X|W|L|MINUTEMAID|
P|6|M|V|N|5|7|0|H|R|9|J|5|6|MINUTEMAID|
6|J|7|0|R|9|K|9|W|H|P|H|P|9|POWERADE|
R|M|J|9|H|4|7|7|5|0|P|R|V|K|POWERADE|
V|V|J|V|K|W|B|7|B|5|W|X|5|R|POWERADE|
B|M|6|9|9|T|P|T|5|W|F|0|M|H|POWERADEZERO|
R|W|7|9|M|T|J|X|P|T|5|R|N|M|POWERADE|
F|T|L|7|M|R|7|X|7|7|B|9|W|7|RED|
N|W|X|B|N|L|K|P|6|9|4|5|4|4|GREEN|
